id,artist_name(s),song_name,popularity,explicit?,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
7n1ZsXms1sU12rRDoDCXer,['Adé Hakim'],Proud Black Man,1,True,0.65,0.615,0.3,0.731,0,0.208,0.544
1k7O8WApHP0oQHqJVNu9Tv,['Adé Hakim'],Link Up,22,True,0.481,0.318,0.0625,0.74,0.00975,0.103,0.883
6ObzRhQkDe0WT91h6coFmh,"['Adé Hakim', 'Cleo Reed']",Back in the Game,14,True,0.402,0.321,0.0381,0.854,0.924,0.11,0.146
6ywMiKtubuKbGcebxcLonh,"['Adé Hakim', 'King Carter']",To Stay,6,True,0.521,0.835,0.391,0.788,0.00155,0.312,0.268
2a1UQyMRSACwvoPgP7VO5l,['Adé Hakim'],Resort,17,True,0.415,0.629,0.134,0.691,0.00923,0.152,0.529
7tGPo3UMGXPYqJDDzso03w,['Adé Hakim'],Dance With Me,5,True,0.568,0.454,0.201,0.424,0.0794,0.131,0.233
1D9DkVTBN7Fc5syRnkOXHF,"['Adé Hakim', 'Taphari']",Perseverance,4,True,0.639,0.672,0.263,0.669,0,0.635,0.587
2OWSQldq6wEiPFn2IkW9fd,['Adé Hakim'],World Full of Lies,4,True,0.804,0.515,0.113,0.608,0.0523,0.418,0.696
3m1Fb0rbsMEUPU2eKVZGat,['Adé Hakim'],Good People,5,True,0.728,0.516,0.0262,0.436,0.00465,0.211,0.572
1IQKuyqem2NXb7X5FsQ9cT,['Adé Hakim'],Cold Awakenings,6,True,0.599,0.6,0.148,0.867,0.0173,0.183,0.665
62tm1ofEPffibhIjw8vUdS,"['Adé Hakim', 'Pink Siifu']",It's So Pure,5,True,0.555,0.742,0.108,0.528,0.304,0.144,0.461
2Tg98VE6wQMI6BpZzBvckC,['Adé Hakim'],"Ginger Tea, No Dairy",6,True,0.648,0.735,0.1,0.212,0,0.671,0.773
19isLIRLYdh6jz4qLxQts2,['Adé Hakim'],Tomb Raiders,6,True,0.554,0.381,0.0861,0.543,0.0019,0.126,0.559
656hyRoBlM6SNLasqUoH7P,"['Adé Hakim', 'Mike']",Signing Off,9,True,0.608,0.409,0.271,0.876,0.000492,0.195,0.776
5M2Hx6RHVX7q7nECdVik5N,"['Adé Hakim', 'Alphonse']",By the Shore,4,True,0.421,0.59,0.392,0.746,0.406,0.169,0.827
3zuQCQ54BmYepbekvIq9yb,"['Adé Hakim', 'Cleo Reed']",Wise Guy,4,True,0.673,0.574,0.177,0.754,0.0007,0.217,0.65
6N6mJ9E70BR8Cj3fgM8KvB,['Adé Hakim'],Nectar,3,True,0.351,0.482,0.062,0.57,0.279,0.216,0.855
39OprObd3XKv05SAdShLiy,['Adé Hakim'],Golden Niggas,3,True,0.578,0.723,0.301,0.829,5.84e-05,0.199,0.719
21AxpEq4cmueWx4jqZvfco,"['Adé Hakim', 'Jodi']",Road Runner,3,True,0.48,0.6,0.115,0.795,0.00542,0.13,0.629
7AUvs6q9yqK2GXgk3s70mU,['demahjiae'],And,13,True,0.556,0.63,0.232,0.569,0.155,0.271,0.749
1k1yIBYGcrIs3OqrR6Bw4B,"['demahjiae', 'Zeroh', 'Pink Siifu']",Pressed,25,True,0.516,0.676,0.309,0.106,0,0.133,0.62
